DisciplineName,EventUnitName,ID,DisciplineCode,GenderCode,EventCode,PhaseCode,EventID,EventName,PhaseID,PhaseName,DisciplineID,EventOrder,PhaseType,EventUnitType,OlympicDay,StartDate,EndDate,Venue,VenueDescription,Location,LocationDescription,Status,StatusDescription,CompetitorCode,NOC,CompetitorName,Position,Mark,MedalType,IRM
Baloncesto 3x3,"Femenino, ronda de grupos",BK3WTEAM3-------------GPA-000900--,BK3,W,,GPA-,BK3WTEAM3-------------------------,Femenino,BK3WTEAM3-------------GPA---------,"Femenino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-01,2024-08-01T09:00:00+02:00,2024-08-01T09:25:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3WTEAM3---CHN01,CHN,China,,,,
Baloncesto 3x3,"Femenino, ronda de grupos",BK3WTEAM3-------------GPA-000900--,BK3,W,,GPA-,BK3WTEAM3-------------------------,Femenino,BK3WTEAM3-------------GPA---------,"Femenino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-01,2024-08-01T09:00:00+02:00,2024-08-01T09:25:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3WTEAM3---AUS01,AUS,Australia,,,,
Balonmano,"Femenino, ronda preliminar - Grupo B",HBLWTEAM7-------------GPB-001000--,HBL,W,,GPB-,HBLWTEAM7-------------------------,Femenino,HBLWTEAM7-------------GPB---------,"Femenino, ronda preliminar - grupo B",HBL-------------------------------,0,3,HTEAM,2024-08-01,2024-08-01T09:00:00+02:00,2024-08-01T10:30:00+02:00,SP6,Paris Sur Arena 6,SP6,South Paris Arena 6,SCHEDULED,Programado,HBLWTEAM7---NED01,NED,Países Bajos,,,,
Balonmano,"Femenino, ronda preliminar - Grupo B",HBLWTEAM7-------------GPB-001000--,HBL,W,,GPB-,HBLWTEAM7-------------------------,Femenino,HBLWTEAM7-------------GPB---------,"Femenino, ronda preliminar - grupo B",HBL-------------------------------,0,3,HTEAM,2024-08-01,2024-08-01T09:00:00+02:00,2024-08-01T10:30:00+02:00,SP6,Paris Sur Arena 6,SP6,South Paris Arena 6,SCHEDULED,Programado,HBLWTEAM7---BRA01,BRA,Brasil,,,,
Voleibol,"Femenino, ronda preliminar, grupo C",VVOWTEAM6-------------GPC-000300--,VVO,W,,GPC-,VVOWTEAM6-------------------------,Femenino,VVOWTEAM6-------------GPC---------,"Femenino, ronda preliminar, grupo C",VVO-------------------------------,0,3,HTEAM,2024-08-01,2024-08-01T09:00:00+02:00,2024-08-01T11:15:00+02:00,SP1,Paris Sur Arena 1,SP1,South Paris Arena 1,SCHEDULED,Programado,VVOWTEAM6---TUR01,TUR,Türkiye,,,,
Voleibol,"Femenino, ronda preliminar, grupo C",VVOWTEAM6-------------GPC-000300--,VVO,W,,GPC-,VVOWTEAM6-------------------------,Femenino,VVOWTEAM6-------------GPC---------,"Femenino, ronda preliminar, grupo C",VVO-------------------------------,0,3,HTEAM,2024-08-01,2024-08-01T09:00:00+02:00,2024-08-01T11:15:00+02:00,SP1,Paris Sur Arena 1,SP1,South Paris Arena 1,SCHEDULED,Programado,VVOWTEAM6---DOM01,DOM,Rep. Dominicana,,,,
Voleibol de playa,"Masculino, preliminares - grupo C",VBVMTEAM2-------------GPC-000300--,VBV,M,,GPC-,VBVMTEAM2-------------------------,Masculino,VBVMTEAM2-------------GPC---------,"Masc., fase preliminar, partidos grupo C",VBV-------------------------------,0,3,HTEAM,2024-08-01,2024-08-01T09:00:00+02:00,2024-08-01T09:50:00+02:00,EIF,Estadio Torre Eiffel,BV0,Estadio de la Torre Eiffel - Pista central,SCHEDULED,Programado,VBVMTEAM2---GER01,GER,EHLERS/WICKLER,,,,
Voleibol de playa,"Masculino, preliminares - grupo C",VBVMTEAM2-------------GPC-000300--,VBV,M,,GPC-,VBVMTEAM2-------------------------,Masculino,VBVMTEAM2-------------GPC---------,"Masc., fase preliminar, partidos grupo C",VBV-------------------------------,0,3,HTEAM,2024-08-01,2024-08-01T09:00:00+02:00,2024-08-01T09:50:00+02:00,EIF,Estadio Torre Eiffel,BV0,Estadio de la Torre Eiffel - Pista central,SCHEDULED,Programado,VBVMTEAM2---AUS01,AUS,HODGES/SCHUBERT,,,,
Baloncesto 3x3,"Femenino, ronda de grupos",BK3WTEAM3-------------GPA-001000--,BK3,W,,GPA-,BK3WTEAM3-------------------------,Femenino,BK3WTEAM3-------------GPA---------,"Femenino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-01,2024-08-01T09:30:00+02:00,2024-08-01T09:55:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3WTEAM3---GER01,GER,Alemania,,,,
Baloncesto 3x3,"Femenino, ronda de grupos",BK3WTEAM3-------------GPA-001000--,BK3,W,,GPA-,BK3WTEAM3-------------------------,Femenino,BK3WTEAM3-------------GPA---------,"Femenino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-01,2024-08-01T09:30:00+02:00,2024-08-01T09:55:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3WTEAM3---CAN01,CAN,Canadá,,,,
